"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
31587,216,3,818,1030,2.79650846376608
31591,217,1,NA,NA,0
31591,217,2,392,670,2.71457191385036
31591,217,3,NA,NA,0
31598,218,1,32,273,2.69387143328835
31598,218,2,441,621,2.53060710832259
31598,218,3,NA,NA,0
31600,219,1,51,234,3.00900052151797
31600,219,2,499,604,2.99888459786892
31600,219,3,777,929,3.35773595642197
31604,220,1,115,281,2.89966018990629
31604,220,2,NA,NA,0
31604,220,3,NA,NA,0
31608,221,1,NA,NA,0
31608,221,2,360,524,3.09954877201695
31608,221,3,NA,NA,0
31610,222,1,NA,NA,0
31610,222,2,378,642,3.39730607539057
31610,222,3,766,921,3.32111906616334
31625,223,1,30,271,3.33042199589299
31625,223,2,438,592,2.76144602234847
31625,223,3,NA,NA,0
31630,224,1,NA,NA,0
31630,224,2,378,670,2.97662259818088
31630,224,3,778,935,2.96193763391071
31633,225,1,30,206,2.90632420217563
31633,225,2,386,576,2.72833136713574
31633,225,3,NA,NA,0
31640,226,1,23,162,3.08518744956844
31640,226,2,398,582,3.02028244061572
31640,226,3,NA,NA,0
31641,227,1,NA,NA,0
31641,227,2,381,553,3.21753780393331
31641,227,3,756,896,3.10236186953366
31642,228,1,9,293,3.20694485560123
31642,228,2,377,534,3.07349238420374
31642,228,3,786,935,3.30624834072874
31649,229,1,27,171,3.11189817061042
31649,229,2,453,561,3.15808383267872
31649,229,3,NA,NA,0
31651,230,1,NA,NA,0
31651,230,2,416,575,3.21767951951403
31651,230,3,NA,NA,0
31653,231,1,62,219,2.6849151159704
31653,231,2,385,670,2.79211723959666
31653,231,3,NA,NA,0
31655,232,1,24,145,3.01616793829631
31655,232,2,NA,NA,0
31655,232,3,NA,NA,0
31657,233,1,24,239,2.83844350716689
31657,233,2,405,590,2.71671022470155
31657,233,3,792,927,2.89282156828795
31658,234,1,NA,NA,0
31658,234,2,385,548,3.18703785602976
31658,234,3,NA,NA,0
31660,235,1,25,270,3.09139242309568
31660,235,2,405,530,3.24831264416194
31660,235,3,800,970,3.19771322592466
31662,236,1,NA,NA,0
31662,236,2,405,641,2.84020698351044
31662,236,3,774,837,2.82378618139499
