"ID","kb1","kb2","kb3","kp1","kp2","kp3","tb1","tb2","tb3","te1","te2","te3","res","Group","BCSm"
81583,0.00182003408814991,NA,NA,0.00421932536712431,NA,NA,71,NA,NA,228,NA,NA,0.239124409574959,"G1",3.5
81593,0.00271739864679982,0.00261573224872377,NA,0.00304962607957036,0.00307265700945269,NA,0,373,NA,248,592,NA,0.549154940468202,"G12",3.5
81602,0.00457304400093949,0.00367119618010256,0.00180395059646852,0.00762470559398405,0.00728447226215472,0.00730488698959462,101,374,762,251,547,937,0.953850857594404,"G123",4
81605,0.00427797752698404,0.00208168558662534,NA,0.00679150471778293,0.00522281014898039,NA,69,382,NA,220,565,NA,0.52649943905181,"G12",3.5
81606,0.00398687355900996,0.00342215634661453,0.00329084084320579,0.00642798584584429,0.0063090118973479,0.0048224447984188,40,361,796,233,560,986,0.78435892894144,"G123",3.5
91007,0.00257599478899959,0.00253220536994865,NA,0.00478537188815277,0.00386465452107313,NA,0,422,NA,208,583,NA,0.359558001102965,"G12",3.5
91008,NA,0.00177244092124627,0.00223348838807164,NA,0.00615653998277772,0.00584472227310178,NA,360,913,NA,515,1050,0.428067417936475,"G23",3.5
91021,0.00423501810885749,0.00333387277504097,0.0031206839233075,0.00546511878739934,0.00462652641061959,0.00399973330945413,22,386,720,202,543,970,0.840022539755191,"G123",3.5
91026,0.0020156742098872,NA,NA,0.00394773617229589,NA,NA,1,NA,NA,191,NA,NA,0.220059938986031,"G1",3.5
91040,NA,0.00471028180554231,0.00188976225380129,NA,0.00406541163029497,0.0053123615928966,NA,385,748,NA,605,920,0.308889779364491,"G23",3.5
91042,0.0039314675167095,0.0026244795113509,NA,0.00428700861482323,0.00406240634809173,NA,21,370,NA,252,560,NA,0.423054336980114,"G12",3.5
91044,0.00362904665052624,0.00305675823536934,NA,0.00596802582986472,0.00371392363577351,NA,0,427,NA,268,616,NA,0.352835646712748,"G12",3.5
91046,0.00473585652607498,0,NA,0.00724257643605454,0.0027900758933911,NA,30,450,NA,214,609,NA,0.533087035580504,"G12",3.5
91049,NA,0.00213628633582475,NA,NA,0.00549289507439242,NA,NA,439,NA,NA,581,NA,0.236254720761152,"G2",3.5
91052,0.00330119570438997,0.0031448388311901,NA,0.00912576517599742,0.00450735361233619,NA,0,429,NA,125,585,NA,0.604365594554102,"G12",3.5
91060,0.00254827938359488,NA,NA,0.00300075029083488,NA,NA,0,NA,NA,226,NA,NA,0.273273908708975,"G1",3.5
91062,0.00318173461886241,0.00300808491940135,NA,0.00883196310728435,0.00696979812001814,NA,26,361,NA,246,670,NA,0.851763768916511,"G12",4
91067,NA,0.00548674593384919,NA,NA,0.00689583435837749,NA,NA,369,NA,NA,622,NA,0.315950309664027,"G2",3.5
91078,NA,0.0041473773651085,0.00233520964618911,NA,0.0035992265514161,0.00445306583342389,NA,360,822,NA,670,953,0.310841739995594,"G23",3.5
91081,0.00328217413858459,0.00196474160153823,NA,0.00565833188088532,0.00514076756387753,NA,1,468,NA,173,590,NA,0.497488596200201,"G12",3.5
91090,NA,0.00223945531156493,0.00215511609232302,NA,0.00310020481594019,0.00330418870348173,NA,431,754,NA,595,991,0.312155817953916,"G23",3.5
91091,0.00468667783110641,0.00247824828057361,NA,0.00541602149985577,0.00419270644382889,NA,0,411,NA,271,587,NA,0.539751438572148,"G12",3.5
91097,0.00477559390271203,0.00507669351639815,0.00282008255389592,0.00424777212178614,0.00587539322113615,0.00375338193614815,28,360,748,253,670,908,0.570934285362983,"G123",3.5
91098,0.0045697230512588,0,NA,0.00643266198424095,0.00338134795310092,NA,5,462,NA,310,600,NA,0.31083762795966,"G12",3.5
91100,NA,0.00294011483128338,0.00319646421591568,NA,0.00995375801363476,0.00742484853340061,NA,360,841,NA,522,982,0.667107699895561,"G23",4
91101,0.00406712996435385,0.00257394989862041,NA,0.00694184532417334,0.00462495626962291,NA,59,413,NA,193,588,NA,0.535319289946908,"G12",3.5
91102,0.00248539783675723,0.00235183834498445,NA,0.00744436344378391,0.00640628573562887,NA,0,495,NA,190,670,NA,0.543809167222148,"G12",4
91105,NA,0.00206808574680146,NA,NA,0.00463720540461683,NA,NA,412,NA,NA,575,NA,0.417499224488966,"G2",3.5
91106,0.00458692215286662,0.00388162502868952,0.00256645642799181,0.00450906055585344,0.00552518535211709,0.00382033730935461,0,415,739,216,605,1030,0.711597353827148,"G123",3.5
91110,0.00481087898949915,0.00390617643719006,0.00332686469681854,0.00475108024936011,0.00440815091738797,0.00372301401889694,58,360,767,197,625,970,0.525689734115232,"G123",3.5
91117,0.00398194211236546,0.00197299047276461,NA,0.00848186214104866,0.00652659188602355,NA,32,361,NA,228,532,NA,0.841092573562024,"G12",4
91118,0.00380875128384917,0.00351080630137027,0.00339572513135769,0.00553927621918464,0.00509573637134252,0.00396924612483962,0,471,747,197,613,929,0.589750416538322,"G123",3.5
91121,0.00230963408417625,0.00207398166904477,NA,0.00381011360485772,0.00363689774138399,NA,0,440,NA,194,600,NA,0.354835256187202,"G12",3.5
91122,NA,0.00282095320834719,0.00319846614620408,NA,0.00485132833849034,0.00332497607892531,NA,396,804,NA,575,969,0.541349542707803,"G23",3.5
91130,NA,0.00311470569902434,0.00309764918946028,NA,0.00546730314261108,0.00378269721150735,NA,371,789,NA,578,971,0.38610571927058,"G23",3.5
91133,0.00280102489703946,0.00219205837723906,NA,0.00587343564577607,0.00445933368468483,NA,0,455,NA,146,595,NA,0.458472737223267,"G12",3.5
91136,0.00525093831327449,0.000329899473079353,NA,0.00714561167494904,0.00281540970415583,NA,25,390,NA,177,587,NA,0.448203360743452,"G12",3.5
91140,0.00406780169560957,0.00337854735299854,NA,0.00344585937276543,0.00356322945829104,NA,15,413,NA,220,604,NA,0.41798181469406,"G12",3.5
91143,NA,0.00200208767323353,NA,NA,0.00311460751339615,NA,NA,391,NA,NA,670,NA,0.252360650293762,"G2",4
91144,NA,0.00361001364111994,0.00259994082812618,NA,0.00437780175614489,0.00395435757495546,NA,360,723,NA,550,921,0.431984517754245,"G23",3.5
91145,0.00473211055726071,0.00319589376215952,0.0031350341310942,0.00473763625932194,0.00480045960460266,0.00361103323172254,14,431,720,267,603,948,0.640199133499841,"G123",3.5
91146,0.00442836095481416,0.00343840262472569,NA,0.00550689236071627,0.00441489486137258,NA,28,420,NA,227,606,NA,0.526280731204508,"G12",3.5
91149,NA,0.00304756742623079,0.00315658795104322,NA,0.0042300627472938,0.00346046806579426,NA,360,798,NA,544,956,0.382947335493215,"G23",3.5
91150,0.00398311884585338,0.00416430291397233,0.00285868429139822,0.00636877875633653,0.00612925762814111,0.00488581588630151,23,360,851,253,655,995,0.794195399699183,"G123",4
91153,NA,0.0034407528300582,0.00294377807785488,NA,0.00395789261641516,0.00369353316395922,NA,442,835,NA,572,985,0.431913384243698,"G23",3.5
